sample_id,run_id,group,severity,bad_name,ground_truth,equiv_step_entropy,equiv_step_gt_prob,equiv_step_confidence,probe_entropy,probe_gt_prob,probe_confidence
305,8,smell,moderate,val,found,0,0,1,0.5189334750175476,1.845906467679015e-07,0.8848715424537659
305,8,smell,mild,myVar,found,0,0,0,0.0820426344871521,8.827314747217319e-12,0.9852496385574341
305,8,control,none,,found,0,0,0,0.1314726173877716,4.265817096893443e-06,0.9790948033332825
309,8,smell,severe,x,error,0,0,0,0.3365662693977356,1.5383928086976084e-07,0.9106401801109314
309,8,smell,moderate,data,error,0,0,0,0.5042856335639954,7.559927325928584e-05,0.8373075127601624
309,8,smell,mild,item,error,0,0,0,0.3753804862499237,1.5202176655293442e-05,0.91021728515625
309,8,control,none,,error,0,0,0,0.40052521228790283,2.421974613753264e-06,0.88831627368927
312,8,smell,severe,a1,authnState,0,0,0,0.049108728766441345,2.0876400998459665e-06,0.9939622282981873
312,8,smell,moderate,data,authnState,0,0,0,0.18967147171497345,5.642744937972566e-08,0.9627453088760376
312,8,smell,mild,result1,authnState,0,0,0,0.03468288853764534,3.020983092988372e-07,0.9957984089851379
312,8,control,none,,authnState,0,0,0,0.18083970248699188,3.6121919957129066e-05,0.9414217472076416
314,8,smell,severe,x,instance,0,0,0,0.20276585221290588,5.0597449785527715e-08,0.9668231010437012
314,8,smell,moderate,foo,instance,0,0,0,0.15462300181388855,2.9542915669367176e-08,0.9677955508232117
314,8,smell,mild,result1,instance,0,0,0,0.09732422977685928,4.6794190744492425e-09,0.9816848635673523
314,8,control,none,,instance,0,0,0,0.1942533701658249,7.1548642566199305e-09,0.9564412832260132
318,8,smell,severe,xx,atlasFilename,1,0,1,1.7805874347686768,8.410734153585508e-07,0.6039813756942749
318,8,smell,moderate,tmp,atlasFilename,0,0,0,1.3426730632781982,3.9433081155948457e-07,0.7578076720237732
318,8,smell,mild,temp1,atlasFilename,0,0,0,0.8492265343666077,8.485776437083814e-08,0.8111131191253662
318,8,control,none,,atlasFilename,0,0,0,0.7857874035835266,1.7701548813420231e-06,0.7745528817176819
324,8,smell,severe,a1,client,0,0,0,0.05132106691598892,0.00010809992818394676,0.9936553239822388
324,8,smell,moderate,tmp,client,0,0,0,0.2142190784215927,5.0032951548928395e-05,0.9725549221038818
324,8,smell,mild,value1,client,0,0,0,0.040775276720523834,1.3204478364059469e-06,0.9946295022964478
324,8,control,none,,client,0,0,0,0.01909857802093029,3.2491570323145424e-07,0.9978023171424866
328,8,smell,severe,a1,seekPoint,0,0,0,0.12884575128555298,2.1654148696370612e-07,0.9763767123222351
328,8,smell,moderate,bar,seekPoint,0,0,0,0.30334198474884033,3.2628260981937274e-08,0.9432730078697205
328,8,smell,mild,temp1,seekPoint,0,0,0,0.15562792122364044,1.905569416704722e-07,0.9690893292427063
328,8,control,none,,seekPoint,0,0,0,0.12149498611688614,1.30049736624116e-06,0.9765346050262451
344,8,smell,severe,x,event,1,1,1,0.1565382182598114,5.5164227887871675e-06,0.986066997051239
344,8,smell,moderate,val,event,1,1,1,0.26315829157829285,1.0892569662246387e-05,0.9790430068969727
344,8,smell,mild,value1,event,1,1,1,0.1261749118566513,9.813333008423797e-07,0.9865485429763794
344,8,control,none,,event,1,1,1,0.34018853306770325,1.3817933904647361e-05,0.9672548770904541
346,8,smell,severe,xx,searchProfileQueryPhaseResult,0,0,0,0.3192194998264313,1.2634799873012525e-07,0.9697564840316772
346,8,smell,moderate,data,searchProfileQueryPhaseResult,0,0,0,0.38976484537124634,1.2150731265592185e-07,0.9399174451828003
346,8,smell,mild,temp1,searchProfileQueryPhaseResult,0,0,0,0.27153465151786804,9.965021652291739e-08,0.9621500968933105
346,8,control,none,,searchProfileQueryPhaseResult,0,0,0,0.04876132309436798,1.0771676550724862e-07,0.9933838844299316
354,8,smell,severe,a,tableName,0,0,0,5.54562866454944e-05,6.495458467967175e-13,0.9999970197677612
354,8,smell,moderate,val,tableName,0,0,0,0.6734253168106079,1.8091220681526465e-06,0.6899705529212952
354,8,smell,mild,item,tableName,0,0,0,0.6845270395278931,9.408337973582093e-06,0.723312258720398
354,8,control,none,,tableName,0,0,0,0.5714781284332275,3.0087710456427885e-07,0.7541311383247375
358,8,smell,severe,a,response,0,0,1,0.7194994688034058,2.3826742108212784e-06,0.8145661950111389
358,8,smell,moderate,data,response,0,0,0,0.4077925682067871,2.077883181073048e-07,0.8721917867660522
358,8,smell,mild,temp1,response,0,0,0,0.21475443243980408,1.6050125850597396e-07,0.9489763975143433
